# ============================================================
# SORDRENIC — Variantes dialectales (POST-AUDIT)
# ============================================================
# Salt = base (standard) | Stone = dur (e→o, -rtz)
# Lutin = adouci (insert i) | Pantagrin = alourdi (a→o, e→o)
#
# Dynasties et roturiers ne varient pas (noms de famille)
# Format : Salt (base) | Stone | Lutin | Pantagrin
# Note : Volcain (roturier) renomme Volcaud (flag -ain ardrainic)
# ============================================================

# ============================================================
# PRENOMS MASCULINS (74)
# ============================================================

# --- Courts & percutants ---
# Salt            Stone           Lutin           Pantagrin
Arnotz            Arnortz         Arnoths         Arnontz
Rinotz            Rinortz         Rinoths         Rinontz
Trenotz           Tronortz        Trenoths        Tronontz
Garsenc           Garsorc         Garsienc        Gorsonc
Thalesc           Thalosc         Thaliesc        Tholosc
Brunotz           Brunortz        Brunoths        Bronontz
Calvesc           Calvosc         Calviesc        Colvosc
Corsorn           Korsorn         Corsiorn        Corsorn
Gastorn           Gastorn         Gastiorn        Gostorn
Oissorn           Oissorn         Oissiorn        Oissorn
Saldosc           Saldosc         Saldiosc        Soldosc

# --- Classiques occitans ---
# Salt            Stone           Lutin           Pantagrin
Raimontz          Raimortz        Raimonths       Roimontz
Esclarenc         Esclarorc       Esclarienc      Osclaronc
Roquesc           Roquosc         Roquiesc        Roquosc
Bauxenc           Bauxorc         Bauxienc        Bouxonc
Calmontz          Calmortz        Calmiontz       Colmontz
Aubrantz          Aubrartz        Aubriantz       Oubrontz
Aiglesc           Aiglosc         Aigliesc        Oiglosc
Pontaltz          Pontaltz        Pontialtz       Pontoltz
Mistranc          Mistranc        Mistrianc       Mistronc
Blanquitz         Blanquirtz      Blanquiths      Blonquitz
Garsier           Garsior         Garsier         Gorsior
Calmier           Calmior         Calmier         Colmior
Ossirenc          Ossirorc        Ossirienc       Ossironc
Guisenc           Guisorc         Guisienc        Guisonc

# --- Touche italienne ---
# Salt            Stone           Lutin           Pantagrin
Castenzo          Castorzo        Castienzo       Costonzo
Salvanto          Salvanto        Salvianto       Solvonto
Miraldo           Miraldo         Mirialdo        Moroldo
Tornaldo          Tornaldo        Tornialdo       Tornoldo
Marzorn           Marzorn         Marziorn        Morzorn
Navresc           Navrosc         Navriesc        Novrosc
Rinenzo           Rinorzo         Rinienzo        Rinonzo
Fiorent           Fioront         Fiorient        Fioront
Valdorn           Valdorn         Valdiorn        Voldorn
Montantz          Montartz        Montiantz       Montontz
Piermontz         Piermortz       Piermiontz      Piormontz
Lormontz          Lormortz        Lormiontz       Lormontz

# --- Fantasy/lore ---
# Salt            Stone           Lutin           Pantagrin
Sordrantz         Sordrartz       Sordriantz      Sordrontz
Volcrantz         Volcrartz       Volcriantz      Volcrontz
Crestantz         Crestartz       Crestiantz      Crostontz
Stoelenc          Stoelorc        Stoelienc       Stoelonc
Drossotz          Drossortz       Drossoths       Drossontz
Sforzenc          Sforzorc        Sforzienc       Sforzonc
Condorn           Kondorn         Condiorn        Condorn
Raulesc           Raulosc         Rauliesc        Roulosc

# --- Nobles/doux ---
# Salt            Stone           Lutin           Pantagrin
Bertrenc          Bertrorc        Bertrienc       Bortronc
Carcenz           Karcorz         Carcienz        Corconz
Fioresc           Fiorosc         Fioriesc        Fiorosc
Arnautesc         Arnautosc       Arnautiesc      Ornotosc
Raimesc           Raimosc         Raimiesc        Roimosc
Gastonenc         Gastonorc       Gastonienc      Gostonenc
Calvanto          Calvanto        Calvianto       Colvonto
Thalorn           Thalorn         Thaliorn        Tholorn

# --- Organiques (irreguliers) ---
# Salt            Stone           Lutin           Pantagrin
Gastol            Gostol          Gastiol         Gostol
Corven            Corvon          Corivien        Corvon
Rimel             Romol           Rimiel          Romol
Aldron            Aldron          Aldrion         Oldron
Lorec             Loroc           Loriec          Loroc
Calven            Calvon          Calvien         Colvon
Persac            Porsac          Persiac         Porsoc
Branel            Bronol          Braniel         Bronol
Marvol            Morvol          Marviol         Morvol
Saltor            Saltor          Saltior         Soltor

# --- Courts/bruts (peu de variation) ---
# Salt            Stone           Lutin           Pantagrin
Gast              Gost            Gast            Gost
Roq               Roq             Roq             Roq
Marc              Morc            Marc            Morc
Bren              Bron            Brien           Bron
Vald              Vold            Vald            Vold

# --- Communs (raccourcis par l'usage) ---
# Salt            Stone           Lutin           Pantagrin
Calmon            Calmon          Calmion         Colmon
Raimol            Roimol          Raimiol         Roimol
Arnel             Arnol           Arniel          Ornol
Piermon           Piormon         Piermion        Piormon
Gastel            Gostol          Gastiel         Gostol


# ============================================================
# PRENOMS FEMININS (59)
# ============================================================

# --- -onda/-anda (lignee occitane) ---
# Salt            Stone           Lutin           Pantagrin
Esclaronda        Esclarorda      Esclarionda     Oscloronda
Garsanda          Garsorda        Garsianda       Gorsonda
Trenonda          Tronorda        Trenionda       Trononda
Navronda          Navrorda        Navrionda       Novronda
Calmonda          Calmorda        Calmionda       Colmonda
Volconda          Volcorda        Volcionda       Volconda
Crestonda         Crestorda       Crestionda      Crostonda
Sorranda          Sorrorda        Sorrianda       Sorronda

# --- -ella/-ina + Castença ---
# Salt            Stone           Lutin           Pantagrin
Castença          Castorca        Castiença       Costonga
Rainella          Rainolla        Rainiella       Roinolla
Fiorella          Fiorolla        Fioriella       Fiorolla
Mistrella         Mistrolla       Mistriella      Mistrolla
Drossella         Drossolla       Drossiella      Drossolla
Rinella           Rinolla         Riniella        Rinolla
Montella          Montolla        Montiella       Montolla
Stoelina          Stoelorna       Stoeliene       Stoelona
Saldina           Saldorna        Saldiene        Soldona
Marzina           Marzorna        Marziene        Morzona
Corsina           Korsorna        Corsiene        Corsona

# --- -ença/-issa (provençale noble) ---
# Salt            Stone           Lutin           Pantagrin
Lorença           Lororca         Loriença        Loronga
Corsença          Korsorca        Corsiença       Corsonga
Roquença          Roquorca        Roquiença       Roquonga
Crestença         Crestorca       Crestiença      Crostonga
Ossirença         Ossirorca       Ossiriença      Ossironga
Aigença           Aigorca         Aigiença        Oigonga
Brunissa          Brunossa        Bruniiessa      Bornossa
Aubrissa          Aubrossa        Aubriessa       Oubrossa
Blanquissa        Blanquossa      Blanquiessa     Blonquossa
Tornissa          Tornossa        Torniessa       Tornossa
Arnautissa        Arnautossa      Arnautiessa     Ornautossa

# --- -ilde/-inde (occitan ancien) ---
# Salt            Stone           Lutin           Pantagrin
Oissilde          Oissolde        Oissield        Oissolde
Thalinda          Thalorde        Thaliende       Tholonde
Bauxilda          Bauxolde        Bauxield        Bouxolde
Stoelinda         Stoelorde       Stoeliende      Stoelonde
Calvinde          Calvorde        Calviende       Colvonde
Volcilde          Volcolde        Volcield        Volcolde

# --- -esse/-otte/-acia/-enza (divers) ---
# Salt            Stone           Lutin           Pantagrin
Valdesse          Valdosse        Valdiesse       Voldosse
Pontessa          Pontosse        Pontiessa       Pontosse
Loracia           Lorocia         Loriacia        Lorocia
Brunotte          Brunotte        Bruniotte       Bornotte
Fiorenza          Fiororza        Fiorienza       Fioronza
Calmesse          Calmosse        Calmiesse       Colmosse
Mirosta           Mirosta         Miriosta        Morosta
Gastonça          Gastonça        Gastionça       Gostonça

# --- Organiques (irreguliers) ---
# Salt            Stone           Lutin           Pantagrin
Miren             Moron           Mirien          Moron
Solca             Solka           Solcia          Solca
Alena             Alona           Aliene          Olona
Corsine           Korsone         Corsiene        Corsone
Bruna             Brona           Brunie          Brona
Lorelle           Lorolle         Lorielle        Lorolle
Aldra             Aldra           Aldrie          Oldra
Ravenne           Ravonne         Ravienne        Rovonne

# --- Courts/bruts ---
# Salt            Stone           Lutin           Pantagrin
Nora              Nora            Noria           Nora
Salda             Salda           Saldia          Solda
Fenna             Fonna           Fenna           Fonna
Calma             Calma           Calmia          Colma

# --- Communs ---
# Salt            Stone           Lutin           Pantagrin
Lorel             Lorol           Loriel          Lorol
Fiora             Fiora           Fioria          Fiora
Brissa            Brossa          Briessia        Brossa


# ============================================================
# DYNASTIES (25) — pas de variation dialectale
# ============================================================

de_Tolmontz
de_Carcavel
de_Roquentz
de_Bauxorc
de_Calmonça
de_Mistrantz
de_Esclarmon
de_Sordranvel
de_Corsaltz
de_Stoelmontz
de_Valdorno
de_Aiglanča
de_Thalvenc
de_Oissorne
de_Fiormontz
de_Navresc
de_Volcranvel
de_Castornel
de_Saldonça
de_Montaurel
de_Gasconvel
de_Brunorca
de_Piermonça
de_Crestanvel
de_Raimondel


# ============================================================
# ROTURIERS (30) — pas de variation dialectale
# ============================================================

Rocavel
Saldenc
Costantz
Aubrel
Calmosc
Brunetz
Garsaud
Roquiel
Mistrel
Volcaud
Corsaud
Fioretz
Tornesc
Pontorc
Valdetz
Aiglotz
Drossenc
Montesc
Rinauld
Calvetz
Navraud
Crestiel
Stoelaud
Blanquetz
Lornel
Sortenc
Gastorel
Marzenc
Thalorc
Bauxaud
